,address_lat,address_lng,contributors,currency,loan_identifier,monthLastUpdate,name,prices,yearLastUpdate
60,55.689747,12.565023,235,DKK,GPD4531YM,1,"Copenhagen, Denmark",19588.6538462,2016
61,39.461124,-76.248893,2,USD,1Z1C3B411A,12,"Abingdon, MD, United States",2300.0,2015
62,37.766571,-122.458944,297,USD,1D2QVY3J29,1,"San Francisco, CA, United States",4199.18947368,2016
63,13.051637,80.213614,4,INR,23B6WR43QN,12,"Madras, India",23500.0,2015
64,-25.443494,-49.056411,127,BRL,1KJ1HX3QAB,1,"Curitiba, Brazil",1675.0,2016
65,10.679117,76.155508,16,INR,25FEHG44ZT,11,"Thrissur, India",31666.6666667,2015
66,59.432148,24.766478,150,EUR,1905PZ3F2Q,12,"Tallinn, Estonia",847.791666667,2015
67,46.80969,-71.225329,88,CAD,22N0NK4390,1,"Quebec City, Canada",2811.64814815,2016
68,52.540658,13.417918,310,EUR,EBZYT31R7,1,"Berlin, Germany",1854.6,2016
69,-7.255091,112.71331,40,IDR,235C7943GG,1,"Surabaya, Indonesia",3926000.0,2016
70,37.804199,-122.407146,297,USD,270CWK45P2,1,"San Francisco, CA, United States",4199.18947368,2016
71,47.511145,18.990685,426,HUF,1QN61M3W4C,1,"Budapest, Hungary",170539.485486,2016
72,44.429451,26.011088,451,RON,1SY8J53Y8B,1,"Bucharest, Romania",2141.06965436,2016
73,32.555602,-84.902136,25,USD,226ZH842WQ,12,"Columbus, GA, United States",1499.66666667,2015
74,12.937828,80.151819,4,INR,25V2VA455A,12,"Madras, India",23500.0,2015
75,19.973716,-102.279243,4,MXN,21XBNE42QB,12,"Zamora de Hidalgo, Mexico",6750.0,2015
76,38.638548,-121.384825,113,USD,1P1YVK3T35,1,"Sacramento, CA, United States",2746.19857143,2016
77,55.750309,24.34544,10,EUR,2AF26X49BP,7,"Panevezys, Lithuania",442.704711601,2015
78,12.999759,77.531812,578,INR,2B4XFJ4AEJ,1,"Bangalore, India",45535.3902344,2016
79,35.97069,-86.602268,15,USD,1HF9443NAB,12,"Murfreesboro, TN, United States",2491.53333333,2015
80,37.977133,23.729875,474,EUR,1XM2HX40AW,1,"Athens, Greece",717.856953125,2016
81,49.889583,-119.390402,67,CAD,12PE913C64,12,"Kelowna, Canada",2680.0,2015
82,49.806316,-97.165659,148,CAD,1C5QP43HEC,1,"Winnipeg, Canada",2827.875,2016
83,36.101031,-79.820668,35,USD,1K9XFW3Q4G,12,"Greensboro, NC, United States",3302.83333333,2015
84,45.483101,9.235804,233,EUR,18JK0W3ETR,1,"Milan, Italy",1659.54157895,2016
85,52.540658,13.417918,310,EUR,H42P831ZE,1,"Berlin, Germany",1854.6,2016
86,19.205158,72.834045,8,INR,2D57MJ4EPS,12,"Yamuna Nagar, India",14250.0,2015
87,32.067319,34.781028,197,ILS,15BE1D3D7Q,1,"Tel Aviv-yafo, Israel",7480.0,2016
88,37.671699,-122.477072,297,USD,1V2JHP3Z1G,1,"San Francisco, CA, United States",4199.18947368,2016
89,59.376457,24.64509,2,EUR,ZTPWR3AYH,1,"Saue, Estonia",700.0,2015
90,51.933806,4.500743,61,EUR,2978HH47TJ,12,"Rotterdam, Netherlands",1800.0,2015
91,-6.261709,106.959906,8,IDR,2DFQM04FGB,11,"Bekasi, Indonesia",5977500.0,2015
92,34.270802,-118.763323,9,USD,1E580V3JV1,12,"Simi Valley, CA, United States",2200.0,2015
93,56.945316,24.115333,176,EUR,27HHC045YQ,1,"Riga, Latvia",619.9375,2016
94,30.19485,-97.876437,226,USD,1TMQG73YRM,1,"Austin, TX, United States",2856.28055556,2016
95,53.852474,-1.83484,27,GBP,23C69543RH,11,"Bradford, United Kingdom",1166.66666667,2015
96,53.818569,-1.572518,96,GBP,25MH76452B,1,"Leeds, United Kingdom",1659.33333333,2016
97,32.067319,34.781028,197,ILS,1PYBQT3V2R,1,"Tel Aviv-yafo, Israel",7480.0,2016
98,23.066497,72.559261,97,INR,1SQNS83Y2J,12,"Ahmedabad, India",24604.7619048,2015
99,46.883389,-71.296911,88,CAD,1EKSTB3K2G,1,"Quebec City, Canada",2811.64814815,2016
100,28.872807,-81.246436,9,USD,2A724N490T,12,"Deltona, FL, United States",1700.0,2015
101,43.584551,15.927135,10,HRK,1MXXAE3RQG,10,"Sibenik, Croatia",4150.0,2015
102,41.019867,29.100257,655,TRY,2CRC6Y4DXC,1,"Istanbul, Turkey",1999.0559375,2016
103,38.534324,-122.808062,31,USD,1P6E0W3T9P,12,"Santa Rosa, CA, United States",3866.66666667,2015
104,39.16804,-84.560166,86,USD,1R0RT53WF7,12,"Cincinnati, OH, United States",2619.80384615,2015
105,36.101031,-79.820668,35,USD,1N3X6H3RYR,12,"Greensboro, NC, United States",3302.83333333,2015
106,38.638548,-121.384825,113,USD,1NT6DB3SR0,1,"Sacramento, CA, United States",2746.19857143,2016
107,34.064353,-118.375347,4,USD,19R8VS3FPD,11,"West Hollywood, CA, United States",3900.0,2015
108,-7.238452,112.734996,40,IDR,1PCEYF3TG2,1,"Surabaya, Indonesia",3926000.0,2016
109,59.064267,15.101492,14,SEK,1T9SN33YFN,1,"Orebro, Sweden",17530.2,2016
110,61.485375,21.796887,9,EUR,1H2G6C3MZY,11,"Pori, Finland",3000.0,2015
111,48.525951,-89.215877,25,CAD,2BS5B54BMV,11,"Thunder Bay, Canada",2569.85,2015
112,42.993293,-83.692807,22,USD,1NK3RG3SES,11,"Flint, MI, United States",1439.19,2015
113,56.945316,24.115333,176,EUR,24XRS544P5,1,"Riga, Latvia",619.9375,2016
114,-6.26634,106.924772,8,IDR,1JT6M93PR1,11,"Bekasi, Indonesia",5977500.0,2015
115,52.402488,0.26782,75,GBP,1YG8XE40RM,1,"Cambridge, United Kingdom",2016.66666667,2016
116,45.836734,15.696472,3,HRK,1RNDFN3X56,11,"Samobor, Croatia",4650.0,2014
117,59.350804,18.059719,261,SEK,2BNQKG4BCY,1,"Stockholm, Sweden",23566.2954545,2016
118,29.57058,-81.199211,7,USD,137S853CCV,12,"Palm Coast, FL, United States",2583.33333333,2015
119,-7.238452,112.734996,40,IDR,21MM1342HX,1,"Surabaya, Indonesia",3926000.0,2016
120,29.57058,-81.199211,7,USD,18YB4H3F14,12,"Palm Coast, FL, United States",2583.33333333,2015
121,28.872807,-81.246436,9,USD,2AN0R149NJ,12,"Deltona, FL, United States",1700.0,2015
122,42.363625,-71.064669,250,USD,WNC853684,1,"Boston, MA, United States",3503.35022625,2016
123,45.733108,21.241429,77,RON,1PRG9R3TV0,1,"Timisoara, Romania",2059.41176471,2016
124,35.837901,50.992994,11,USD,1XE406408D,12,"Karaj, Iran",775.0,2015
125,32.067319,34.781028,197,ILS,1CT8353HW6,1,"Tel Aviv-yafo, Israel",7480.0,2016
126,53.069756,8.823655,35,EUR,1YNEP340VC,11,"Bremen, Germany",2210.0,2015
127,-23.254543,-45.905748,28,BRL,2DYF784GB6,12,"Sao Jose dos Campos, Brazil",1932.0,2015
128,-12.846628,-38.468195,46,BRL,2CGZ014DB3,1,"Salvador, Brazil",1058.33333333,2016
129,34.270802,-118.763323,9,USD,1EP5K33K3W,12,"Simi Valley, CA, United States",2200.0,2015
130,48.763876,9.154961,73,EUR,106BBZ3B3S,1,"Stuttgart, Germany",2543.33333333,2016
131,33.958454,-83.373013,43,USD,2B3Q7F4ABT,12,"Athens, GA, United States",2386.66666667,2015
132,45.621995,-73.874764,16,CAD,1BXR2R3H6T,9,"Laval, Canada",2683.33333333,2015
133,51.53945,-0.096832,867,GBP,1Z2ZQD4120,1,"London, United Kingdom",1995.42261409,2016
134,48.366262,-71.278653,10,CAD,14Q25Z3D1E,7,"Saguenay, Canada",3051.5,2015
135,28.872807,-81.246436,9,USD,2A385248VS,12,"Deltona, FL, United States",1700.0,2015
136,26.386271,-80.09658,16,USD,1Y3P0X40HN,12,"Boca Raton, FL, United States",4746.58333333,2015
137,46.883389,-71.296911,88,CAD,1DFDMD3JAB,1,"Quebec City, Canada",2811.64814815,2016
138,35.899404,-79.024942,15,USD,TXWS735DE,12,"Chapel Hill, NC, United States",2800.0,2015
139,40.088233,-76.276765,19,USD,1R5ASP3WMP,12,"Lancaster, PA, United States",2350.0,2015
140,-22.798647,-43.180841,25,BRL,255PZV44SV,12,"Niteroi, Brazil",3333.33333333,2015
141,56.669337,12.880735,10,SEK,2B6D2E4AGR,12,"Halmstad, Sweden",18374.597997,2015
142,39.16804,-84.560166,86,USD,1R0R1R3WEZ,12,"Cincinnati, OH, United States",2619.80384615,2015
143,-6.216204,106.963525,8,IDR,1KJYXX3QAQ,11,"Bekasi, Indonesia",5977500.0,2015
144,52.543692,13.411384,310,EUR,2AC2HB4977,1,"Berlin, Germany",1854.6,2016
145,40.726083,-74.228686,48,USD,1TF61A3YN7,12,"Newark, NJ, United States",2801.25,2015
146,46.2977,16.344015,16,HRK,1G3ACZ3M2S,12,"Varazdin, Croatia",4200.0,2015
147,-25.95498,28.11498,4,ZAR,1MREHC3RKX,6,"Midrand, South Africa",15000.0,2015
148,35.899404,-79.024942,15,USD,WC2413649,12,"Chapel Hill, NC, United States",2800.0,2015
